Symbol	macrophage, TB infection, non stimulated BMDM, with Mtb, 028hr(004h after stimulation), biol_rep4.CNhs14347.3972-173I4	macrophage, TB infection, non stimulated BMDM, with Mtb, 036hr(012h after stimulation), biol_rep4.CNhs14348.3973-173A5	macrophage, TB infection, non stimulated BMDM, with Mtb, 048hr(024h after stimulation), biol_rep4.CNhs14349.3974-173B5	macrophage, TB infection, non stimulated BMDM, with Mtb, 072hr(048h after stimulation), biol_rep4.CNhs14350.3975-173C5	macrophage, TB infection, non stimulated BMDM, with Mtb, 120hr(096h after stimulation), biol_rep4.CNhs14351.3976-173D5	macrophage, TB infection, non stimulated BMDM, without Mtb, 024hr, biol_rep4.CNhs14342.3967-173D4	macrophage, TB infection, non-stimulated BMDM, with Mtb, 028hr(004h after stimulation), biol_rep1.CNhs11507.3607-170C6	macrophage, TB infection, non-stimulated BMDM, with Mtb, 028hr(004h after stimulation), biol_rep2.CNhs11582.3679-171C6	macrophage, TB infection, non-stimulated BMDM, with Mtb, 036hr(012h after stimulation), biol_rep1.CNhs11508.3608-170D6	macrophage, TB infection, non-stimulated BMDM, with Mtb, 036hr(012h after stimulation), biol_rep2.CNhs11583.3680-171D6	macrophage, TB infection, non-stimulated BMDM, with Mtb, 048hr(024h after stimulation), biol_rep1.CNhs11509.3609-170E6	macrophage, TB infection, non-stimulated BMDM, with Mtb, 048hr(024h after stimulation), biol_rep2.CNhs11584.3681-171E6	macrophage, TB infection, non-stimulated BMDM, with Mtb, 072hr(048h after stimulation), biol_rep1.CNhs11510.3610-170F6	macrophage, TB infection, non-stimulated BMDM, with Mtb, 072hr(048h after stimulation), biol_rep2.CNhs11585.3682-171F6	macrophage, TB infection, non-stimulated BMDM, with Mtb, 120hr(096h after stimulation), biol_rep1.CNhs11511.3611-170G6	macrophage, TB infection, non-stimulated BMDM, with Mtb, 120hr(096h after stimulation), biol_rep2.CNhs11586.3683-171G6	macrophage, TB infection, non-stimulated BMDM, without Mtb, 004hr, biol_rep3.CNhs11633.3705-172B1	macrophage, TB infection, non-stimulated BMDM, without Mtb, 006hr, biol_rep3.CNhs11634.3706-172C1	macrophage, TB infection, non-stimulated BMDM, without Mtb, 012hr, biol_rep3.CNhs11635.3707-172D1	macrophage, TB infection, non-stimulated BMDM, without Mtb, 024hr, biol_rep1.CNhs11458.3561-170B1	macrophage, TB infection, non-stimulated BMDM, without Mtb, 024hr, biol_rep2.CNhs11533.3633-171B1	macrophage, TB infection, non-stimulated BMDM, without Mtb, 024hr, biol_rep3.CNhs11636.3708-172E1	macrophage, TB infection, non-stimulated BMDM, without Mtb, 028hr, biol_rep1.CNhs11459.3562-170C1	macrophage, TB infection, non-stimulated BMDM, without Mtb, 028hr, biol_rep2.CNhs11534.3634-171C1	macrophage, TB infection, non-stimulated BMDM, without Mtb, 028hr, biol_rep3.CNhs11637.3709-172F1	macrophage, TB infection, non-stimulated BMDM, without Mtb, 036hr, biol_rep1.CNhs11460.3563-170D1	macrophage, TB infection, non-stimulated BMDM, without Mtb, 036hr, biol_rep2.CNhs11535.3635-171D1	macrophage, TB infection, non-stimulated BMDM, without Mtb, 036hr, biol_rep3.CNhs14298.3710-172G1	macrophage, TB infection, non-stimulated BMDM, without Mtb, 048hr, biol_rep1.CNhs11461.3564-170E1	macrophage, TB infection, non-stimulated BMDM, without Mtb, 048hr, biol_rep2.CNhs11536.3636-171E1	macrophage, TB infection, non-stimulated BMDM, without Mtb, 048hr, biol_rep3.CNhs14299.3711-172H1	macrophage, TB infection, non-stimulated BMDM, without Mtb, 072hr, biol_rep1.CNhs11462.3565-170F1	macrophage, TB infection, non-stimulated BMDM, without Mtb, 072hr, biol_rep2.CNhs11537.3637-171F1	macrophage, TB infection, non-stimulated BMDM, without Mtb, 072hr, biol_rep3.CNhs14300.3712-172I1	macrophage, TB infection, non-stimulated BMDM, without Mtb, 120hr, biol_rep1.CNhs11463.3566-170G1	macrophage, TB infection, non-stimulated BMDM, without Mtb, 120hr, biol_rep2.CNhs11538.3638-171G1	macrophage, TB infection, non-stimulated BMDM, without Mtb, 120hr, biol_rep3.CNhs14301.3713-172A2
Decr2	0.63	0.6	1.98	5.67	0	1.39	3.12	0	2.42	0	4.93	8.7	4.34	6.59	8.49	6.02	6.67	7.29	5.32	6.54	6.21	4.48	3.91	6.72	4.14	3.83	2.42	4.1	3.9	2.36	3.67	4.04	1.54	2.98	6.25	3.94	4.12
Decr2	0.73	0.15	0.52	0.98	0	0.69	0.62	0	0	0	0.45	0	0	3.29	0.85	0	0.48	0.88	1.74	0	0	0.91	0	0.61	0.83	1.64	0	0.18	0	0	0.59	1.35	0	0.92	1.56	0	0.88
Decr2	0.21	0.3	0.83	2.29	0	0.42	0.62	1.99	0	2.31	0	1.09	0	0	0.85	0	0.6	1.38	1.28	0.93	0	1.4	0	0	0.97	0.55	0.6	1.07	0	0	0.95	0	1.03	0.46	1.56	0.79	1.47
Decr2	4.72	5.37	6.15	8.95	0	8.88	1.25	5.98	1.21	6.93	4.93	10.88	7.23	9.88	0	3.01	5.72	6.16	8.99	4.67	5.32	10.23	3.13	8.55	8.14	2.73	12.08	8.9	3.9	7.55	9.22	2.7	7.19	9.28	4.68	7.88	9.41
Nme4	0.84	0.3	0.42	0.44	0	0.69	0	0	0	1.15	0.45	2.18	0	0	3.4	3.01	0.48	0.75	0.55	0	3.55	1.05	1.57	0.61	0.62	1.64	1.81	0.62	2.34	1.42	0.95	4.04	2.57	1.15	0	1.58	0.59
Nme4	0.42	0.15	0.73	1.85	0	0.83	0	0	0	0	0	0	0	0	0.85	0	0.24	1.38	0.55	0	0	0.77	0	1.22	1.79	0	0.6	0.98	0	1.42	1.3	1.35	1.03	1.03	0	1.18	0.29
Nme4	3.88	1.34	6.56	17.24	0	10.13	2.49	1.99	2.42	4.62	8.07	5.44	8.67	0	3.4	12.03	5.95	6.03	7.25	5.61	8.87	9.53	4.7	10.38	13.17	4.37	7.85	12.46	5.46	9.91	14.66	1.35	9.76	14.77	1.56	8.67	4.71
Nme4	1.57	1.19	2.6	6.98	0	4.03	0.62	1.99	0	0	1.79	1.09	2.89	16.47	3.4	3.01	2.26	2.14	3.85	1.87	7.09	4.41	3.13	4.28	6.83	0	1.81	4.9	1.56	6.61	6.86	0	5.14	5.15	0	6.31	2.21
Tmem8	4.83	4.63	21.15	77.14	7.86	12.77	20.57	7.97	13.92	6.93	50.68	16.32	21.68	9.88	14.43	9.02	53.7	45.98	47.8	30.85	61.18	66.05	53.23	76.35	87.71	42.64	76.12	69.97	30.41	97.25	66.34	29.66	72.95	57.27	78.07	55.98	34.12
Mrpl28	2.94	5.67	5.94	5.13	0	6.38	2.49	0	1.82	3.46	3.14	5.44	1.45	0	4.24	0	3.45	3.39	1.38	0.93	4.43	2.8	1.57	4.28	2.83	1.64	4.83	5.25	2.34	5.67	5.79	2.7	3.08	5.73	0	3.15	5
Mrpl28	24.45	33.87	44.9	54.33	23.58	59.27	22.44	13.95	36.32	18.48	52.92	28.28	76.61	32.94	64.51	21.06	44.3	51.5	42.3	52.35	92.22	55.26	66.54	84.9	61.58	51.38	80.95	78.25	47.57	78.84	82.42	45.83	71.41	82.46	89	86.33	72.37
Mrpl28	0.1	0	0.42	1.2	0	0.14	0	0	0	0	0.45	0	0	3.29	0.85	0	0.24	0.13	0.73	0	0.89	1.82	0.78	0.61	2.07	1.09	1.81	1.51	0	0	2.13	0	2.57	1.03	0	0.39	0.88
Axin1	20.88	10.74	12.81	11.67	15.72	19.15	15.59	5.98	21.79	8.08	16.59	7.61	7.23	9.88	16.98	9.02	21.2	16.08	21.38	15.89	19.51	23.88	14.87	25.65	23.51	20.23	29.6	26.26	17.16	17	24.95	13.48	19.52	24.4	15.61	13.01	18.83
Itfg3	43.03	42.83	47.09	78.45	31.44	68.15	64.84	77.75	67.2	53.12	106.29	71.8	72.27	82.35	89.12	93.26	119.91	131.14	123.86	94.42	187.09	133.35	96.29	169.79	127.43	110.97	164.93	113.15	113.85	174.2	92.94	122.67	107.37	80.17	115.54	97.37	62.66
Itfg3	2.41	4.33	3.85	3.49	0	3.89	3.12	0	2.42	1.15	4.48	2.18	4.34	0	3.4	0	4.88	5.28	4.31	7.48	9.75	4.83	5.48	6.11	4.76	2.19	4.83	8.81	5.46	4.25	8.28	4.04	3.6	7.1	4.68	5.12	7.65
Itfg3	8.71	9.1	11.25	11.13	7.86	12.77	9.35	9.97	6.05	10.39	9.87	10.88	5.78	9.88	16.13	6.02	16.19	15.33	15.23	6.54	22.17	17.09	14.87	14.05	16.21	13.67	18.12	17	14.04	17.47	14.78	17.52	9.25	16.72	12.49	16.56	14.27
Dusp1	0.84	0	0.42	0.22	0	0.42	9.97	7.97	2.42	0	1.35	0	0	0	4.24	0	0.36	0.25	0.18	0.93	0.89	0.28	0	0	0.14	0.55	0	0.36	0.78	0	0.12	0	0	0.23	0	0	0.29
Dusp1	0	0	0	0	0	0.28	1.25	0	0	0	0	0	0	0	0	0	0.12	0	0	0	0	0.14	0	0	0	0	0	0	0	0	0.12	0	0	0.11	0	0	0.15
Dusp1	0.52	0	0.1	0	0	0	3.12	0	1.82	0	1.35	1.09	0	0	0.85	0	0	0.13	0	0	0	0.35	0.78	0	0.14	0	0	0.09	0	0	0.12	0	0.51	0	3.12	0	0
Dusp1	136.43	32.08	60.42	44.51	78.61	34.42	665.81	207.32	250.64	39.26	95.98	20.67	66.49	42.82	79.78	6.02	14.17	10.8	13.95	27.11	13.3	22.41	33.66	9.77	19.1	22.96	17.52	24.39	42.11	21.72	24.24	43.14	20.55	36.65	31.23	20.5	22.36
Dusp1	0	0	0	0.22	0	0.14	1.25	0	1.82	0	0	0	0	0	0	0	0	0	0.18	0.93	0	0.07	0	0	0.07	0	0	0.27	0	0.47	0.24	0	0	0.23	0	0	0
Atp6v0e	3.78	3.13	4.79	4.04	0	4.86	3.74	3.99	8.48	6.93	5.83	11.97	11.56	13.18	8.49	6.02	4.64	5.28	2.29	2.8	1.77	2.94	3.13	1.83	2.69	4.37	4.23	3.03	1.56	3.78	3.55	1.35	4.11	5.27	3.12	3.15	6.62
Atp6v0e	16.48	14.33	15.52	18.33	7.86	14.16	19.95	17.94	12.71	18.48	15.25	15.23	33.24	3.29	38.19	9.02	15.48	14.57	11.56	12.15	15.07	16.18	18	23.21	12.41	14.21	12.69	14.78	14.82	10.86	11	13.48	10.28	16.95	10.93	18.53	22.95
Atp6v0e	380.22	426.2	376.4	472.53	86.47	463.72	390.88	356.83	484.94	333.73	302.73	339.4	777.64	322.81	987.11	297.82	274.83	275.86	189.46	241.18	351.13	236.87	273.99	302.94	226.11	238.34	328.05	328.85	265.92	297.42	374.13	289.83	371.44	446.79	268.56	434.04	531.88
A930001N09Rik	12.38	5.52	5.94	17.57	149.36	19.43	13.72	13.95	41.17	13.86	20.63	21.76	17.35	62.59	4.24	57.16	32.75	40.07	38.35	19.63	28.37	38.38	14.87	29.32	34.75	25.69	27.79	36.77	37.43	27.85	30.63	17.52	29.28	24.4	39.04	14.59	22.8
Phf1	0.1	0	0.21	0	0	0	0	0	0	0	0	0	0	0	0	0	0.24	0	0.28	0	0.89	0.07	0	0	0.07	0	0	0.36	0	0	0	0	0	0.11	0	0	0.29
Phf1	2.1	4.18	6.46	3.49	0	7.77	7.48	5.98	9.69	1.15	14.8	10.88	11.56	9.88	5.09	21.06	12.38	12.69	8.53	9.35	32.81	14.08	13.31	28.1	18.76	12.57	26.58	18.07	11.7	25.97	11	21.57	24.15	11.11	32.79	12.22	11.33
Phf1	11.96	10.89	11.88	5.24	0	15.82	19.33	29.9	21.19	12.7	17.94	15.23	11.56	23.06	15.28	51.14	20.72	22.86	22.94	9.35	31.03	26.61	12.53	23.21	29.72	14.76	24.17	29.11	14.82	19.83	24.12	20.22	14.9	23.25	34.35	16.16	24.56
Cuta	0.1	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.12	0	0	0	0	0	0	0	0	0	0	0.18	0	0	0.12	0	0	0	0	0.39	0
Cuta	0.94	1.04	2.6	3.71	0	1.94	1.87	3.99	0	2.31	3.14	2.18	1.45	0	2.55	0	2.14	3.14	2.48	1.87	3.55	1.82	1.57	1.83	2	0.55	1.81	2.58	4.68	2.36	2.6	2.7	2.57	2.29	3.12	3.15	2.35
Cuta	0.73	0.9	0.73	1.09	0	1.25	2.49	1.99	2.42	1.15	1.35	2.18	7.23	0	4.24	0	1.55	2.26	1.83	0	2.66	1.33	1.57	2.44	2.28	0.55	1.21	1.87	3.12	3.78	1.77	2.7	2.06	3.21	3.12	2.37	1.62
Cuta	3.04	3.13	5.1	8.84	0	11.38	6.23	7.97	12.11	6.93	12.56	5.44	13.01	3.29	10.19	6.02	11.55	11.81	10	11.22	22.17	12.68	5.48	12.83	12.55	12.03	10.87	15.67	7.8	11.8	16.55	8.09	11.3	18.1	10.93	16.95	13.97
Cuta	13.33	15.52	29.17	37.2	23.58	37.2	44.26	49.84	30.88	35.8	60.1	65.27	63.6	56	69.6	45.12	37.27	46.35	45.69	62.63	62.07	40.76	61.84	67.18	44.68	61.77	70.68	37.57	42.11	56.18	45.76	56.62	59.08	45.81	68.7	72.14	46.77
Cuta	0.52	1.19	0.42	1.75	0	1.39	0.62	0	0	1.15	0.45	1.09	7.23	0	0	0	0.95	1	0.83	0.93	0.89	0.98	0	0	0.9	1.64	0	1.6	0.78	0.94	2.48	0	1.03	1.37	3.12	1.58	1.03
Itpr3	5.46	2.84	12.19	16.15	0	11.38	13.72	5.98	11.5	9.24	16.15	13.05	15.9	23.06	12.73	21.06	27.27	25.75	22.75	22.44	23.94	30.26	17.22	19.54	26	10.93	26.58	21.1	15.6	17.94	16.79	21.57	13.36	20.39	15.61	15.77	18.24
Itpr3	0.1	0	0	0	0	0.14	0	0	0	0	0	0	0	0	1.7	0	0.36	0	0	0	0	0.14	0	0	0.14	1.64	0.6	0.45	0	0	0.12	0	0	0.34	0	0.39	0.29
Itpr3	0.1	0	0.1	0	0	0.14	0	0	0	0	0.45	0	0	0	0	0	0	0.13	0	0	0	0	0	0	0.14	0	0	0.09	0	0	0	0	0	0	0	0	0.15
Itpr3	0.21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.48	0.25	0	0	0	0.07	0	0	0.21	0	0	0	0	0	0	0	0.51	0	1.56	0.39	0.29
D17Wsu92e	7.03	4.03	1.35	1.2	0	1.53	1.87	0	4.24	0	1.35	1.09	1.45	0	0.85	0	1.43	1	1.38	0	1.77	0.98	0.78	1.83	1.17	3.83	1.21	0.62	1.56	1.42	1.3	0	1.54	1.26	1.56	0.79	1.62
D17Wsu92e	1.68	0.45	0.42	0.22	7.86	0.14	0	0	0	0	1.35	1.09	1.45	0	0	0	1.31	0.38	0.18	0.93	0	0.28	2.35	1.22	0.28	0.55	0.6	0.36	0	0	0	0	0	0.57	0	0	0
D17Wsu92e	10.81	3.58	2.71	0.65	0	1.11	0.62	1.99	1.82	1.15	1.79	0	0	3.29	0.85	0	1.67	1.13	0.73	0	0	1.4	0	0.61	0.76	1.09	1.21	1.34	0	0.94	1.77	4.04	0	2.06	0	0.79	1.91
D17Wsu92e	85.32	56.71	25.73	21.38	23.58	20.96	51.74	15.95	26.64	21.94	29.6	18.49	18.79	13.18	11.03	12.03	18.46	15.7	16.97	29.91	22.17	15.27	22.7	14.66	14.34	24.05	15.71	14.6	15.6	18.88	15.84	14.83	12.33	15.23	23.42	18.92	16.77
D17Wsu92e	7.77	8.36	10	8.07	0	7.36	8.1	3.99	7.87	6.93	8.97	4.35	4.34	9.88	7.64	0	6.55	6.53	9.27	5.61	6.21	9.17	5.48	6.72	7.79	7.65	8.46	8.37	11.7	4.72	5.32	5.39	10.28	5.61	10.93	9.07	5.3
Snrpc	9.34	12.39	8.86	10.69	15.72	7.77	8.1	11.96	7.26	6.93	8.52	7.61	15.9	9.88	10.19	12.03	7.14	5.28	5.96	5.61	7.98	5.95	4.7	9.77	5.24	6.01	7.25	6.05	1.56	6.14	5.56	2.7	4.11	4.35	4.68	10.25	4.85
Snrpc	2.1	1.79	1.56	1.96	0	0.42	1.87	1.99	1.21	2.31	1.35	3.26	1.45	0	2.55	0	1.55	1.63	1.01	3.74	1.77	1.47	0.78	1.83	0.76	3.83	0.6	1.07	2.34	0.94	0.83	1.35	1.03	0.69	0	0.79	1.18
Snrpc	2.83	2.09	1.35	0.87	7.86	0.83	1.87	1.99	2.42	0	0.45	0	0	0	0	0	1.19	1.13	0.64	0.93	0	0.7	0	0	0.83	0.55	0.6	0.36	0.78	0	0.35	1.35	0.51	0.92	3.12	0	0.44
Anks1	0.52	1.19	1.35	2.18	0	1.25	0	0	1.21	0	1.79	0	0	0	1.7	0	0.71	1.76	1.38	1.87	0.89	0.63	0	1.22	0.83	0	0.6	1.16	0.78	2.83	1.06	0	1.03	1.03	3.12	2.37	1.32
Anks1	4.93	7.31	12.71	13.75	23.58	5.55	6.86	0	3.63	0	8.52	5.44	2.89	6.59	4.24	0	14.17	12.69	19.18	10.28	8.87	18.14	10.96	15.88	17.45	9.29	15.71	14.24	7.02	14.16	10.76	13.48	13.87	8.82	17.18	8.67	4.85
Anks1	0	0	0	0.11	0	0.14	0	0	0	0	0	0	1.45	0	0	0	0	0.25	0	0	0	0	0	0	0.14	0	0	0.18	0	0	0	0	0	0	0	0	0
Anks1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.14	0	0	0.09	0	0	0.12	0	0.51	0.11	0	0	0.15
Anks1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09	0	0	0	0	0	0	0	0	0.18	0	0	0.12	0	0	0	0	0	0
Anks1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11	0	0	0
Anks1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11	0	0	0
Anks1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anks1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09	0	0	0	0	0	0.07	0	0	0.09	0	0	0	0	0	0	0	0	0
Def6	2.2	5.97	8.13	6	0	6.66	5.61	5.98	2.42	4.62	8.07	4.35	4.34	3.29	5.09	0	10.24	6.78	5.41	5.61	14.19	8.68	5.48	8.55	6.83	6.01	7.25	10.59	5.46	6.61	10.64	4.04	9.76	11.91	3.12	7.88	10.3
Def6	2.62	6.42	8.02	6.87	7.86	9.44	6.86	7.97	2.42	1.15	5.83	6.53	4.34	6.59	9.34	0	12.15	10.3	15.05	9.35	19.51	12.68	9.39	10.38	12.48	9.84	10.27	11.22	0.78	11.33	11	5.39	10.79	6.87	6.25	9.46	7.35
Def6	0	0	0	0	0	0.14	0	0	0	0	0	0	0	0	0	0	0.12	0	0.28	0	0	0	0	0	0.21	0	0	0.18	0	0	0	0	0	0	0	0.39	0
Fance	4.83	8.66	6.67	7.86	0	28.04	4.99	5.98	5.45	3.46	12.11	5.44	8.67	6.59	13.58	6.02	12.5	12.31	12.39	8.41	13.3	14.57	14.09	13.44	18.55	5.47	15.1	20.39	13.26	16.52	25.66	13.48	11.82	29.66	15.61	19.32	28.24
Fkbp5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fkbp5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fkbp5	11.54	7.61	4.06	2.29	0	2.78	4.99	0	6.05	2.31	2.24	2.18	4.34	0	5.94	0	5.24	3.14	1.93	4.67	2.66	3.01	4.7	3.05	2.55	3.83	3.02	4.27	3.9	1.42	2.6	2.7	5.14	2.86	3.12	1.18	3.09
Fkbp5	3.78	2.54	1.15	1.75	0	2.91	0.62	1.99	0	0	0	2.18	4.34	0	6.79	0	1.07	0.38	0.55	0	0.89	1.47	1.57	1.83	1.17	0	1.21	1.78	1.56	0.94	1.54	0	2.06	1.95	0	0	0.88
Fkbp5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fkbp5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fkbp5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fkbp5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fkbp5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fkbp5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Srpk1	23.82	19.85	18.54	23.68	86.47	18.32	31.79	53.82	52.07	28.87	25.56	19.58	23.13	29.65	28.01	15.04	20.36	18.47	19.73	22.44	23.94	21.36	22.7	12.83	18.14	22.41	19.94	19.59	30.41	14.16	19.75	22.92	20.55	18.1	14.05	24.84	20.3
Srpk1	6.19	5.37	4.9	8.07	55.03	6.94	3.74	3.99	7.87	3.46	2.24	3.26	4.34	6.59	8.49	3.01	6.55	3.89	5.78	3.74	4.43	3.99	3.91	4.28	4.69	3.83	3.02	5.79	8.58	4.25	4.73	5.39	4.11	4.12	0	4.73	5
Mapk14	0.42	1.04	2.29	1.64	0	0.56	0	0	0.61	2.31	0	2.18	1.45	0	0	3.01	1.43	1.38	1.83	1.87	0.89	1.68	1.57	3.05	1.86	1.64	4.23	2.14	2.34	1.42	1.89	1.35	2.06	0.46	0	0.39	1.47
Mapk14	1.05	1.04	2.81	1.85	0	3.05	0	0	0	3.46	2.69	2.18	1.45	0	0	0	2.26	3.52	2.94	2.8	1.77	3.15	1.57	2.44	3.79	3.28	3.62	3.12	1.56	3.3	3.31	2.7	2.57	2.41	3.12	3.55	3.09
Mapk14	14.9	45.81	45.01	28.37	31.44	63.57	9.35	7.97	14.53	21.94	51.58	28.28	28.91	42.82	20.37	24.07	70.61	73.23	74.59	65.44	84.24	93.5	72.02	83.67	88.82	60.68	85.18	83.06	62.39	57.6	72.84	51.23	53.94	60.82	48.4	36.66	50.6
Mapk14	0.42	0.75	0.21	0.33	0	0.97	0	0	0.61	0	1.35	0	0	0	0	0	0.6	1.13	0.83	1.87	0.89	1.26	0.78	0.61	0.97	1.09	1.21	1.07	0	1.42	0.71	0	1.54	0.23	0	0.39	0.29
Mapk14	0	0.15	0.31	0.11	0	0.69	0	0	0	0	1.35	0	0	0	0	3.01	2.14	2.76	3.3	0.93	0	2.66	0	1.22	2.07	2.19	0.6	0.45	0.78	1.42	0.47	0	0	0	0	0	0
Mapk14	0.21	1.19	0.42	1.42	0	0.97	0.62	0	0.61	2.31	3.14	3.26	0	0	0.85	0	1.31	2.26	3.58	5.61	4.43	2.66	3.91	1.83	3.17	3.83	3.62	4.36	1.56	1.89	3.43	1.35	1.03	1.03	1.56	1.18	1.62
Mapk14	1.57	2.09	2.08	4.15	15.72	5.14	0	3.99	0.61	9.24	2.24	4.35	0	16.47	0.85	3.01	3.45	3.52	6.79	0	7.09	5.88	1.57	1.22	6.62	2.19	2.42	3.2	1.56	6.14	4.38	1.35	8.73	3.66	3.12	1.97	2.35
Mapk14	0.31	1.19	0.83	0.76	0	1.39	0.62	1.99	0	1.15	0.45	1.09	0	0	0	0	1.19	0.5	1.01	0	0	1.54	0	0	1.38	1.09	1.81	0.71	0.78	0.47	1.18	0	0.51	0.69	0	0	0.59
Mapk14	0	0.3	0.1	0.22	0	0.28	0	0	0	0	0	0	0	0	0	0	0.48	0.13	0.37	0	1.77	1.19	0	0.61	0.69	0	0	1.07	0	0.47	0.12	0	0.51	0.11	1.56	0	0
Stk38	2.83	4.78	2.5	3.71	7.86	2.22	1.25	0	4.84	1.15	4.04	0	2.89	3.29	1.7	0	3.69	3.01	4.68	1.87	7.98	3.64	3.91	3.05	4.48	7.11	4.83	5.61	5.46	4.72	4.61	6.74	4.11	3.09	6.25	1.18	2.5
Stk38	1.05	2.69	2.29	1.64	7.86	1.8	0.62	1.99	3.03	5.77	0.45	2.18	4.34	6.59	0	0	3.45	2.64	2.39	1.87	4.43	2.17	3.13	3.66	2.14	2.19	2.42	2.85	2.34	3.3	2.13	2.7	3.6	2.06	3.12	2.37	1.47
Stk38	2.31	3.58	2.6	4.8	23.58	3.05	2.49	0	1.21	3.46	3.14	6.53	0	3.29	1.7	3.01	5.24	4.9	4.04	0	4.43	4.48	3.91	4.28	4.21	1.64	3.02	3.29	3.12	3.78	3.43	4.04	2.06	3.21	4.68	3.15	1.91
Stk38	40.82	58.95	54.49	59.68	117.92	50.94	44.89	55.82	73.86	73.91	74	70.71	63.6	85.64	55.17	72.2	108.36	103.01	79.73	87.87	122.36	79.84	100.2	94.06	78.27	81.45	100.29	88.49	69.4	92.06	71.42	91.67	67.82	62.76	90.56	77.27	65.75
Stk38	3.15	3.43	3.54	3.27	7.86	4.3	2.49	7.97	2.42	6.93	2.24	9.79	1.45	6.59	6.79	0	5.83	5.15	2.84	0	6.21	2.87	2.35	4.28	2.34	1.64	3.02	3.47	2.34	1.89	2.84	2.7	1.03	3.44	4.68	3.15	4.71
Srsf3	100.96	64.02	53.65	80.08	345.89	45.66	67.33	101.67	49.04	53.12	26.46	64.18	34.69	46.12	22.07	21.06	44.65	35.42	36.06	41.13	16.85	28.16	33.66	21.99	27.1	35.53	35.64	39.44	37.43	33.52	37.37	41.79	56.51	37.68	53.09	41.39	52.07
Cdkn1a	0.73	0.9	1.77	1.75	0	1.94	0	1.99	0	1.15	1.79	0	0	3.29	0	9.02	2.14	2.51	2.94	2.8	0.89	1.82	2.35	4.89	1.45	1.64	0.6	0.71	0.78	1.89	0.47	0	0	0.57	0	0.39	0.29
Cdkn1a	5.35	4.78	15.31	2.84	7.86	7.36	0	0	0	1.15	7.18	13.05	2.89	13.18	0	9.02	13.69	18.34	21.29	20.57	6.21	11.14	17.22	12.83	8.41	4.92	5.44	3.92	1.56	7.08	4.02	1.35	3.6	4.12	1.56	1.58	1.62
Cdkn1a	2980.39	531.25	406.3	135.29	487.39	242.48	1877.12	2220.75	269.41	385.7	299.59	399.24	225.49	431.51	247.84	339.93	182.78	204	199.28	218.74	96.65	141.97	209.01	138.64	140.33	145.95	104.52	98.82	73.3	127.94	88.57	107.84	102.75	88.76	51.53	89.88	47.07
Cdkn1a	16.69	2.84	2.5	0.76	0	0.69	6.23	13.95	1.82	1.15	1.79	0	0	0	0	0	0.36	1.13	0.55	2.8	0	0.84	2.35	1.22	0.41	0	1.21	0.27	0	0	0.12	0	1.03	0.69	0	0	0.29
Mtch1	0.31	0.15	0.31	0.11	0	0.28	0	0	0.61	0	0	0	0	0	4.24	0	0.83	1.38	0.64	0	2.66	1.68	0.78	1.83	1.93	0.55	1.81	1.96	2.34	0	0.35	1.35	1.03	0.23	0	0.79	0.29
Mtch1	0.1	0.15	0	0.44	0	0.42	0	0	0	0	0	0	0	0	0	0	0	0.13	0	0	0	0.07	0	0	0.21	0	0	0.18	0	0	0	0	0.51	0.34	1.56	0	0
